S2_0min_R1	S2_0min_R2	S2_2.5min_R2	S2_5min_R1	S2_5min_R2	S2_10min_R1	S2_10min_R2	S2_20min_R1	S2_20min_R2
250.562034669342	155.348716953047	160.904133296373	125.667814049548	141.04129432705	127.2090251464	86.7207371152902	87	83.7978800066519
1790.31722306203	1091.21467171472	1369.50531552252	1366.07242466811	1258.72702295651	1159.22810885291	884.248564035819	765	775.13039006153
2.05941398358363	0	0	1.80816998632444	0.887052165578933	0.95645883568722	0.757386350351879	0	0
4578.76375683427	3042.19329514934	3471.45207039415	3817.95092612405	3253.70734334353	2923.89466069583	1492.0511101932	1514	1191.72556495174
594.484169927807	388.686263469566	454.317552836818	505.38351117768	480.782273743782	424.667723045126	378.69317517594	306	281.920010593808
1162.19595806903	746.554360418082	672.739453239135	492.726321273409	562.391072977043	344.325180847399	231.381530032499	174	156.821746869591
1678.42239662066	1172.97715432159	1330.18937345011	1655.37962248002	1288.88679658619	1322.78256975543	610.832091558791	594	484.232035181296
1686.66005255499	1177.37974953888	1331.64551945279	1658.09187745951	1290.66090091735	1326.60840509817	613.104250609846	594	484.830591467058
664.504245369651	455.983076076756	505.282662930692	446.617986622136	461.267126101045	299.3716155701	233.653689083555	173	172.384210299398
232.027308817089	162.896023039834	194.395491358062	210.651803406797	190.716215599471	208.508026179814	118.530963830069	129	105.345906294077
746.194333385135	494.348548684594	562.072357035294	533.410145965709	463.041230432203	417.016052359628	304.848006016631	317	266.357547164001
126.997195654324	94.3413260848461	36.4036500670528	35.2593147333265	30.1597736296837	14.3468825353083	11.7394884304541	12	7.18267542914159
538.87999237105	313.213202601689	225.702630415727	149.174023871766	140.154242161471	114.775060282466	65.5139193054376	70	72.4253105771777
691.963098484099	376.107419991587	260.650134480098	165.447553748686	168.539911459997	102.341095418533	60.2122148529744	75	47.2859465751822
80.3171453597615	39.6233569556354	41.5001610764401	44.3001646649487	47.9008169412624	53.5616947984843	27.6446017878436	25	22.7451388589484
2111.58580450108	1644.05484257192	1817.99828434861	1639.1060926031	1735.96108803797	1121.92621426111	891.443734364162	557	453.705664607444
4.11882796716726	1.88682652169692	2.91229200536422	0.904084993162218	2.6611564967368	0	1.13607952552782	3	1.1971125715236
3779.71113120382	2458.53495777109	3009.85378754392	3291.77346010364	2790.66611291132	2926.76403720289	1642.01360756287	2167	1462.87156240184
489.454056765042	313.213202601689	222.062265409022	152.790363844415	136.606033499156	109.99276610403	59.0761353274466	63	65.2426351480361
1942.71385784722	1251.59492605896	1317.08405942597	1107.50411662372	989.950216786089	668.564726145367	474.881241670628	395	333.994407455084
351.473319864939	273.589845646054	273.027375502896	141.941343926468	162.330546300945	60.2569066482949	43.928408320409	44	25.7379202877574
201.822570391196	147.17246869236	49.5089640911917	32.5470597538399	30.1597736296837	22.9550120564933	18.1772724084451	26	16.1610197155686
438.655178503313	300.63435912371	257.009769473392	216.07631336577	227.085354388207	131.034860489149	88.235509815994	77	61.6512974334653
185.347258522527	108.806996084523	55.3335481019202	31.6429747606776	31.0468257952627	27.7373062349294	14.0116474815098	15	11.971125715236
385.796886258	269.81619260266	172.55330131783	151.886278851253	200.473789420839	117.644436789528	60.9696012033263	45	35.3148208599462
6329.95211420821	4553.54133902857	4238.84101380762	2788.19811891228	2812.8424170508	1853.61722356183	967.561062574526	965	778.721727776101
175.050188604608	122.6437239103	51.6931830952149	41.587909685462	41.6914517822098	36.3454357561144	24.2363632112601	22	13.1682382867596
532.015279092437	300.63435912371	133.965432246754	76.8472244187886	90.4793208890512	53.5616947984843	33.7036925906586	54	37.7090460029934
953.50867439922	644.03678607255	690.21320527132	569.573545692198	431.107352471361	378.757698932139	184.044883135507	254	180.763998300063
2158.26585479564	1520.78217648772	1408.0931845936	1014.38336232801	1023.65819907809	480.142335514984	387.781811380162	336	263.364765735192
203.881984374779	120.127955214704	102.658293189089	34.3552297401643	41.6914517822098	21.9985532208061	17.4198860580932	5	9.57690057218879
245.070264046452	155.977659126946	237.351798437184	237.774353201663	194.264424261786	191.291767137444	104.519316348559	120	108.338687722886
142.786036195132	86.1650778241595	58.9739131086255	45.2042496581109	47.0137647756834	31.5631415776783	19.6920451091489	38	17.3581322870922
3003.99853072065	1867.32931430605	904.26666766559	596.696095487064	588.115585778832	330.934757147778	179.500565033395	227	197.523574301394
1561.03579955639	1268.57636475423	1392.0755785641	1101.17552167158	1311.06310072566	834.988563554943	792.983508818418	554	447.720101749826
603.408297190003	386.17049477397	360.396135663822	309.197067661479	282.082588654101	210.420943851188	142.009940690977	104	90.9805554357935
8.23765593433452	5.66047956509077	5.09651100938738	0	3.54820866231573	1.91291767137444	0.37869317517594	1	0
1109.33766582371	768.567336504546	642.888460184152	494.534491259733	455.057760941993	309.892662762659	193.890905690081	187	152.631852869259
1578.88405408078	1214.48733779892	1874.78797845322	1772.91067159111	1503.55342065629	1444.2528418877	708.534930754183	927	737.421344058537
1108.65119449585	830.832611720545	386.6067637121	256.76013805807	236.842928209575	169.293213916638	94.6732937939849	112	84.9949925781755
26.085910458726	15.7235543474744	8.73687601609266	9.04084993162218	9.75757382136826	3.82583534274888	3.40823857658346	2	2.3942251430472
3147.47103824365	1916.38680387017	2680.76479093776	2968.11103255156	2699.29973985669	2469.5767137444	1445.47184964656	1738	1508.9603964055
221.043767571309	155.348716953047	51.6931830952149	43.3960796717865	30.1597736296837	21.0420943851188	11.7394884304541	12	10.1754568579506
613.705367107921	471.077688250332	493.633494909235	379.715697128132	384.980639861257	233.375955907682	154.885508646959	123	99.9588997222205
625.375379681562	409.441355208232	512.563392944103	475.548706403327	439.090821961572	313.718498105408	182.908803609979	189	161.610197155686
81.6900880154839	52.2022004336149	29.8509930549833	22.6021248290555	15.9669389804208	18.1727178780572	7.19517032834285	6	5.98556285761799
1403.14739414831	951.589509109148	981.442405807742	1131.01032644594	1190.42400620693	919.156941095419	646.807943200505	464	431.559082034257
2953.88612378678	1959.7838138692	2311.63177925785	2823.45743364561	2616.80388845785	2390.19063038236	1503.79059862366	1403	1644.83267327342
315.090339488295	238.99802608161	224.246484413045	164.543468755524	161.443494135366	128.165483982087	103.761929998207	44	44.2931651463732
1408.6391647712	1046.55977736789	1164.91680214569	1093.94284172628	1299.53142257314	810.120633827075	577.885785318484	433	389.06158574517
125.624252998601	101.888632171634	115.035534211887	99.449349247844	122.413198849893	140.599448846021	92.4011347429293	92	82.6007674351283
1399.71503750901	861.650778241595	780.494257437611	560.532695760575	559.729916480307	382.583534274888	183.287496785155	155	144.850621154355
5938.66345732732	4064.22432773517	5658.58336642268	5610.75146756473	5311.66836748665	4152.94426455391	2542.54597813126	2466	2369.0857790452
416.688096011754	227.677066951429	206.044659379519	164.543468755524	146.363607320524	108.079848432656	60.5909080281504	67	63.4469662907507
665.877188025373	407.554528686535	511.835319942762	418.591351834107	397.399370179362	330.934757147778	229.109370981444	206	186.749561157681
658.3260034189	410.69923955603	473.247450871686	482.781386348625	545.537081831044	454.31794695143	426.408515248108	296	297.482474023614
1007.73990930026	732.088690418406	361.852281666504	234.158013229015	268.776806170417	174.075508095074	82.5551121883549	113	95.7690057218879
1244.57251741237	781.775122156425	1065.17080096196	942.056562875031	1013.90062525672	750.820186014468	578.26447849366	424	481.837810038249
1175.23891329839	733.346574766204	560.616211032612	372.483017182834	376.997170371047	216.159696865312	142.009940690977	134	117.915588295074
508.675253945156	332.710409992557	304.334514560561	216.07631336577	241.27818903747	147.294660695832	97.3241460202165	103	79.6079860063193
515.539967223768	291.200226515225	329.817069607498	329.086937511047	219.988937063575	230.50657940062	120.045736530773	110	87.9877740069845
1487.58336747524	1015.11266867294	937.758025727279	739.541524406695	722.94751494683	500.227971064416	423.000276671525	271	266.357547164001
543.685291666078	353.465501731224	542.414385999086	484.589556334949	425.785039477888	397.886875645884	237.81931401049	251	206.501918587821
2007.24216266618	1279.89732388441	1626.51508499592	1351.60706477752	1298.64437040756	867.508163968309	638.098000171458	429	409.412499461071
610.959481796477	354.723386079021	380.054106700031	377.907527141807	319.338779608416	223.81136755081	154.885508646959	115	117.317032009313
4197.7721698713	2498.78725690062	2959.61675045139	1953.72767022355	1657.01344530145	1155.40227351016	514.644025064102	541	577.606815760136
931.541591907661	605.671313464712	637.791949174764	667.214724953717	534.005403678518	431.362934894936	316.966187622262	250	209.49470001663
176.423131260331	120.756897388603	176.193666324535	155.502618823902	177.410433115787	117.644436789528	85.2059644145864	69	58.6585160046563
1078.44645606996	788.064543895415	882.424477625359	860.688913490432	885.278061247775	614.046572511195	578.26447849366	465	462.085452608109
1238.39427546162	934.608070413876	919.556200693752	871.537933408378	887.939217744512	611.177196004134	454.053117035952	332	279.52578545076
298.615027619626	170.443329126622	216.965754399634	232.34984324269	212.005467573365	249.635756114364	101.111077771976	145	142.456396011308
406.391026093836	240.255910429408	336.369726619567	380.619782121294	335.305718588837	326.152462969342	226.079825580036	221	193.932236586823
1630.36940367037	1076.74900171504	1244.27675929186	1403.13990938776	1329.69119620282	1207.05105063727	852.43833732104	695	653.024907766123
1090.1164686436	647.181496942044	934.117660720574	763.951819222074	738.914453927251	612.133654839821	355.971584665383	420	376.491903744172
4170.31331675685	2961.68869689027	2573.73805974063	1980.85022001842	1819.34399160239	1266.35149844988	746.025555096601	612	593.169279189943
426.298694601811	314.471086949487	305.062587561902	276.650007907639	272.325014832732	182.683637616259	151.0985768952	108	81.4036548636047
1707.25419239083	1252.22386823286	1459.78636768882	1354.319319757	1577.17875039934	991.847812607647	748.676407322833	565	468.071015465727
1097.66765325007	635.860537811863	777.581965432247	739.541524406695	618.275359408516	582.483430933517	341.581244008698	315	295.088248880567
1093.54882528291	715.736193897033	897.714010653521	867.017508442567	845.360713796723	676.216396830865	461.62698053947	423	322.023281739848
28.1453244423096	19.4972073908682	19.6579710362085	18.0816998632444	18.6280954771576	9.5645883568722	10.6034089049263	10	8.97834428642699
3527.08968255089	2425.20102255444	3259.5828270039	2838.82687852937	2833.24461685911	1987.52146055804	1217.87725136582	1052	854.139819782088
3527.08968255089	2431.49044429343	3263.22319201061	2844.25138848834	2837.67987768701	1984.65208405098	1221.28548994241	1049	854.139819782088
