gene	cluster
NM_011694.5	3
NM_001252494.1	1
NM_013716.2	1
NM_178218.4	2
NM_024210.2	1
NM_028360.2	1
NM_001313984.1	1
NR_030738.1	2
NR_028526.1	4
NR_028550.1	3
NR_028541.1	3
NR_028566.1	4
NM_001127233.1	2
NM_016776.2	2
NM_025985.4	2
NM_009671.5	3
NM_026197.3	2
NM_001002764.1	1
NM_178645.4	1
NM_001024205.2	2
NM_026389.3	2
NM_001130169.1	2
NM_025414.3	4
NR_028329.1	2
NM_175004.2	2
NM_199008.2	1
NM_009427.2	1
NM_009078.2	2
NM_011508.2	2
NM_028918.2	1
NM_001243049.1	1
NM_025654.2	2
NM_025404.3	1
NM_138753.2	2
NR_030703.1	3
NM_001048058.1	1
NM_012030.2	1
NM_025305.2	4
NM_001252532.1	4
NM_001012273.1	2
NM_027204.2	1
NM_007879.1	1
NM_026080.2	1
NM_001077661.1	1
NR_045893.1	2
NM_001130457.1	1
NM_001163359.1	1
NM_016888.5	1
NM_001163454.2	1
NM_009260.2	2
NM_001284359.1	2
NM_001252260.1	2
NM_009831.2	1
NM_001290769.1	1
NM_175334.3	3
NM_001110499.1	1
NM_177567.3	2
NM_001048061.1	1
NM_178626.3	1
NM_001256516.1	1
NR_134309.1	1
NM_001130408.1	2
NM_007437.5	1
NM_027198.1	1
NM_177229.3	1
NM_001301710.1	1
NM_001291058.1	3
NM_001159375.1	1
NM_030702.4	4
NM_001291068.1	1
NM_013625.4	1
NM_001012309.2	1
NM_144825.2	2
NM_207523.2	2
NM_199199.3	1
NM_019653.3	1
NM_001277106.1	1
NM_027388.2	1
NM_001077636.1	1
NM_025825.3	2
NM_011505.2	2
NM_172300.3	1
NM_001161419.1	2
NM_008379.3	1
NM_175332.3	1
NM_022891.3	2
NM_011623.2	2
NM_010404.3	1
NM_172565.2	1
NM_001199296.1	2
NM_025918.3	1
NR_027785.1	3
NM_015810.2	3
NM_007840.3	2
NM_008258.1	2
NM_001243584.1	1
NM_008211.3	1
NM_001167680.1	1
NM_011358.2	2
NM_027980.2	3
NM_133796.7	1
NM_024229.2	1
NM_001270988.1	1
NM_153082.4	1
NM_029321.2	3
NM_009104.2	2
NM_001014973.2	1
NM_026164.2	1
NM_001306178.1	3
NM_011968.3	2
NM_001037746.3	2
NM_001164370.1	2
NM_025656.5	1
NM_177806.3	1
NM_146035.2	1
NR_033222.1	4
NM_007481.3	2
NM_026536.1	2
NM_028339.1	2
NM_001079694.1	2
NM_001252625.1	2
NM_146036.1	2
NM_026958.3	2
NM_009790.5	1
NM_001324515.1	1
NM_177140.3	1
NM_173363.5	2
NM_026511.2	1
NM_201646.2	4
NM_028731.5	1
NR_030694.1	1
NM_011739.3	2
NM_011300.3	2
NM_013562.2	1
NM_013760.4	1
NM_026998.3	1
NM_025589.4	2
NM_145443.2	2
NM_007564.5	2
NR_045057.1	1
NM_001102565.1	1
NM_175335.3	1
NM_001160214.1	4
NM_001142937.2	1
NM_010480.5	2
NM_027404.2	2
NM_178182.2	2
NM_178206.2	2
NM_178200.2	2
NM_178201.2	2
NM_001290466.1	2
NM_175665.2	2
NM_178198.2	1
NM_153173.4	1
NM_145073.2	2
NM_145713.4	1
NM_178196.4	2
NM_178188.4	2
NM_178204.2	2
NM_175654.2	2
NM_001290380.1	2
NM_015786.3	2
NM_175664.3	2
NM_175660.3	2
NM_178203.2	2
NM_178193.2	1
NM_030609.3	2
NM_001308448.1	4
NM_011817.2	1
NM_012017.2	1
NM_025596.5	3
NM_001030296.4	3
NM_181278.2	1
NM_008541.3	1
NM_001164041.1	4
NM_001168248.1	1
NM_001013608.2	4
NM_023507.3	4
NM_027123.4	1
NM_001168659.1	2
NM_001042591.1	2
NM_024175.3	2
NM_001048250.2	2
NM_008247.3	4
NM_172595.4	1
NM_001113550.1	1
NM_001047159.2	4
NM_024270.3	2
NM_178199.2	2
NM_178183.2	2
NM_020034.2	2
NM_178207.2	2
NM_178184.2	2
NM_175659.2	2
NM_175656.3	2
NM_178186.3	2
NM_178197.2	1
NM_175655.2	2
NM_178205.2	2
NM_178187.4	2
NM_178195.2	2
NM_001290530.1	2
NM_015787.4	1
NM_178189.5	2
NM_178208.2	2
NM_175653.2	2
NM_178192.2	2
NM_013550.5	2
NM_025380.2	2
NM_009000.3	1
NM_001114088.2	1
NM_026842.4	4
NM_001301340.1	2
NM_023281.1	1
NM_001081176.1	1
NM_001311120.1	1
NM_021504.3	4
NM_001316711.1	2
NM_008695.2	1
NM_001177633.1	2
NM_028428.2	3
NM_025366.3	1
NM_009502.4	2
NM_026283.2	2
NM_011297.2	2
NM_145969.4	1
NM_001114879.1	1
NM_177815.3	1
NM_001081251.1	1
NM_027088.2	1
NM_009796.2	1
NM_028932.4	2
NM_001081221.1	2
NM_001004436.4	2
NM_144535.4	2
NM_009687.2	2
NM_026851.2	2
NM_026401.2	1
NM_027764.2	1
NM_026908.3	1
NM_009366.4	2
NM_009769.4	1
NM_001033242.1	1
NM_198014.2	2
NM_001190989.1	1
NM_021434.5	2
NM_008929.3	1
NM_026861.2	4
NM_080556.3	2
NM_029556.3	2
NM_025586.3	1
NM_026209.1	1
NM_021542.4	1
NM_027475.3	2
NM_134081.5	1
NR_029446.1	2
NM_145221.2	1
NM_027949.1	2
NM_025907.3	2
NM_001039106.3	1
NR_039593.1	1
NM_172598.3	1
NM_133676.2	4
NM_027248.2	2
NM_001253694.1	4
NM_001170981.1	2
NM_033618.3	1
NM_145462.2	1
NM_010590.5	4
NM_026526.2	3
NM_020506.1	2
NM_198605.3	1
NM_001320725.1	2
NM_026598.3	3
NM_008715.2	2
NM_018788.3	1
NM_025945.3	1
NM_028315.2	2
NM_001033132.3	1
NM_207215.2	1
NM_134077.4	2
NM_011897.3	2
NM_029578.3	1
NM_001033336.3	1
NR_131002.1	2
NR_015586.2	2
NM_026069.3	2
NM_026002.4	1
NM_053068.3	4
NM_008296.2	1
NM_145916.2	2
NM_025536.2	2
NM_012053.2	2
NR_004432.2	3
NM_001168672.1	2
NM_001253813.1	1
NM_001024526.2	2
NM_134100.4	4
NM_001039129.4	2
NM_011294.3	2
NM_009083.4	2
NM_001163485.1	2
NM_008774.3	2
NM_001289471.1	1
NM_001310542.1	3
NM_001164600.1	4
NM_028364.2	4
NM_013481.1	2
NM_010046.2	1
NM_013762.2	2
NR_028281.1	4
NM_020507.3	2
NM_178627.3	2
NM_001170954.1	1
NM_001004150.3	1
NM_001164625.1	2
NM_001163319.1	2
NM_175121.3	2
NM_001289437.1	1
NM_007478.3	1
NM_016781.2	3
NM_153407.2	4
NM_001310070.1	2
NM_145362.2	1
NM_001081400.3	1
NM_001122667.2	2
NM_181860.1	2
NM_001039521.1	1
NR_030252.1	1
NM_001114085.1	2
NM_198246.2	4
NM_001038663.1	1
NM_001291047.1	4
NM_178922.3	1
NM_001277231.1	2
NM_172265.2	1
NM_134101.2	2
NR_030705.1	3
NM_177632.3	1
NM_177633.4	2
NM_011638.4	1
NM_001130485.1	1
NM_001130484.1	1
NM_021338.3	1
NM_172823.2	3
NM_008465.5	1
NM_028108.3	1
NM_173026.2	3
NM_011434.1	2
NM_016968.4	2
NM_019973.2	1
NR_040389.1	4
NM_145359.2	1
NM_001271603.1	2
NM_026909.2	1
NM_009186.4	1
NM_145480.1	2
NM_024273.2	4
NM_009840.3	2
NM_178923.3	2
NM_010256.2	1
NM_021720.1	4
NM_145482.3	2
NM_001159616.1	2
NM_134123.3	2
NM_175229.3	1
NM_010023.4	4
NR_045289.1	2
NM_008743.2	2
NM_008503.5	2
NM_025881.3	1
NM_001005916.2	1
NM_021419.2	4
NM_028791.6	1
NM_026530.5	2
NM_018730.3	1
NM_001003919.1	1
NM_008532.2	4
NM_008628.2	1
NM_010830.2	2
NM_001111017.1	1
NM_009510.2	2
NM_008799.2	1
NM_001033496.3	1
NM_172935.4	4
NM_007634.4	2
NR_027900.2	2
NR_028515.1	4
NM_001163447.1	4
NM_019774.5	2
NM_011655.5	4
NM_001033630.1	3
NM_008302.3	2
NM_001025250.3	1
NM_025649.3	1
NM_144857.1	1
NM_009358.3	2
NM_028232.2	1
NM_008738.2	1
NM_133801.2	1
NM_013933.3	1
NM_001278415.1	1
NM_001146222.1	2
NM_001146223.1	2
NM_144802.4	1
NM_001195485.1	1
NM_001001806.2	4
NM_008838.1	2
NR_015506.2	1
NM_001042418.1	1
NM_001100449.1	1
NM_027002.3	1
NM_027101.2	1
NM_001170966.1	2
NM_173441.3	1
NM_133658.1	1
NR_038151.1	2
NM_007462.3	1
NM_009004.4	2
NM_001166406.1	2
NR_038073.1	1
NM_010771.6	4
NM_026420.2	3
NM_026464.2	1
NM_024179.5	2
NM_020600.4	1
NR_029432.1	2
NM_021451.2	2
NM_027556.1	4
NM_001170953.1	2
NM_001002239.3	2
NM_001038608.2	1
NM_178604.3	1
NM_001042408.1	1
NM_008448.3	1
NM_001289606.1	3
NM_144866.3	2
NR_015475.1	2
NM_021296.2	4
NR_045376.1	2
NM_008540.2	2
NM_145494.2	4
NM_025717.3	1
NM_007687.5	2
NM_001160239.2	2
NM_001190436.1	2
NM_013859.2	4
NR_045703.1	2
NR_002896.3	2
NM_016813.2	1
NM_001276704.1	1
NR_015538.1	1
NM_025463.3	2
NM_176843.3	1
NM_001293621.1	4
NM_010239.2	2
NM_015735.1	1
NM_177640.4	2
NM_009551.5	1
NM_010638.4	2
NM_001302382.1	1
NM_144873.2	1
NM_001080706.1	1
NM_008234.3	4
NM_172839.4	1
NR_106167.1	4
NM_028319.1	4
NM_177342.3	2
NM_001290127.1	2
NM_023166.2	1
NR_002847.2	2
NR_131212.1	2
NR_003513.3	2
NM_026246.3	1
NM_134150.2	2
NM_001033139.3	1
NM_008577.4	2
NM_001161413.1	2
NR_132423.1	2
NM_026325.3	1
NR_027866.1	2
NR_039598.1	2
NM_198019.2	1
NM_026520.3	2
NM_001081213.1	1
NM_026487.3	2
NM_001162410.1	4
NM_001113408.1	1
NM_010123.3	1
